Categoria,Percentual
,0.46
In Action,0.23
Computer Graph,0.23
Theory,1.62
Object-Oriented Programming,0.93
Business,2.78
Programming,2.78
Internet,9.51
PHP,0.23
Miscellaneous,0.46
java,0.23
Microsoft .NET,7.89
Microsoft/.NET,0.23
Next Generation Databases,0.23
Mobile Technology,1.39
P,0.23
XML,0.93
Computer Graphics,1.39
Web Development,3.94
.NET,0.23
SOA,0.23
Microsoft,1.86
Software Engineering,3.71
Mobile,0.23
Python,1.39
Java,22.27
Open Source,0.46
Software Development,0.23
S,0.23
Miscella,0.23
Perl,1.39
PowerBuilder,1.62
Client-Server,2.55
Object-Technology Programming,0.23
Client Server,0.23
internet,0.23
Networking,1.62
Algorithmic Art,0.23
